uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,1,1015,ESCOLA CLASSE 102 SUL,SQS 102 AREA ESPECIAL,7,-15.8039651,-47.890341
DF,1,1023,ESCOLA SALESIANA BRASÍLIA (DOM BOSCO),SHIGS 702 CONJUNTO A,12,-15.8010256,-47.8949295
DF,1,1139,SEB DÍNATOS,SGAS 604  CONJUNTO C LOTES 25/26,9,-15.8142801,-47.8871431
DF,1,1163,CENTRO DE ENSINO FUNDAMENTAL 214 SUL,SQS 214 AREA ESPECIAL,7,-15.8320123,-47.9174534
DF,1,1198,ESCOLA CLASSE 305 SUL,SQS 305 AREA ESPECIAL,7,-15.8075277,-47.8997188
DF,1,1236,CENTRO EDUCACIONAL LA SALLE,SGAS 906  CONJUNTO E LOTE 06,13,-15.8017825,-47.8996432
DF,1,1244,ESCOLA PARQUE 313/314 SUL,EQS 313/314 AREA ESPECIAL,10,-15.8242676,-47.9210258
DF,1,1287,ESCOLA CLASSE 316 SUL,SQS 316 AREA ESPECIAL,9,-15.8302094,-47.9267996
DF,1,1309,CENTRO DE ENSINO FUNDAMENTAL 405 SUL,SQS 405 AREA ESPECIAL,8,-15.816096,-47.8921299
DF,1,1333,ESCOLA CLASSE 413 SUL,SQS 413 AREA ESPECIAL,6,-15.8315425,-47.9128478
DF,1,1341,COLEGIO COR JESU,SGAS 615  LOTE 110,12,-15.8376977,-47.9181984
DF,1,1376,CEJA ASA SUL C.E.S.A.S.,SGAS 602 PROJ D,13,-15.8094757,-47.8824921
DF,1,1384,CEM SETOR LESTE,SGAS 611/612 CONJUNTO E,17,-15.8312522,-47.9068765
DF,1,1422,UDF,SEPS 704/904 CONJUNTO A,19,-15.8028798,-47.8993918
DF,1,1457,CEM ELEFANTE BRANCO,SGAS 708/908 MÓDULOS 25/26 ÁREA ESPECIAL - ALA SUL,11,-15.8092358,-47.9086075
DF,1,1899,COLEGIO MARISTA ENSINO MÉDIO,SGAS 615 MÓDULO C,19,-15.836891,-47.9167319
DF,1,1902,COLEGIO MARISTA DE BRASILIA,SGAS 609 MODULO A,15,-15.8253566,-47.9000934
DF,1,1961,UPIS - UNIAO PIONEIRA DE INTEGRACAO SOCIAL,SEPS 712/912 CONJUNTO A,17,-15.8151904,-47.9160807
DF,1,2003,ESCOLA CLASSE 206 SUL,SQS 206 AREA ESPECIAL,8,-15.816545,-47.8964859
DF,1,2020,ESCOLA CLASSE 209 SUL,SQS 209  AREA ESPECIAL,7,-15.8216581,-47.9029438
DF,1,2046,ESCOLA CLASSE 416 SUL,SQS 416 AREA ESPECIAL,8,-15.8377992,-47.9221412
DF,1,2097,CENTRO DE ENSINO FUNDAMENTAL 03 DE BRASILIA,SQS 103 AREA ESPECIAL,5,-15.8051529,-47.8919132
DF,1,2100,CENTRO DE ENSINO FUNDAMENTAL 01 DE BRASILIA,SQS 106 AREA ESPECIAL,7,-15.8129772,-47.8978537
DF,1,2143,CENTRO DE ENSINO FUNDAMENTAL 05 DE BRASILIA,SQS 408 AREA ESPECIAL,7,-15.8231915,-47.8996245
DF,1,2151,UNIP - UNIVERSIDADE PAULISTA,SGAS 913 S/N CONJUNTO B,18,-15.819478,-47.9216712
DF,1,2208,CIL - CENTRO INTERESCOLAR DE LÍNGUAS,SGAS 907/908 MÓDULOS 25/26 - ASA SUL - JUNTO AO CEM ELEF BRANCO,10,-15.8083674,-47.9090913
DF,2,1015,ESCOLA CLASSE 01 DO PARANOA,QD 26 CJ G LT 01 - AREA ESPECIAL,12,-15.76474748,-47.77840761
DF,2,1023,ESCOLA CLASSE 02 DO PARANOA,QD 30 CJ L LT 17,13,-15.7639351,-47.7784965
DF,2,1228,ESCOLA CLASSE 03 DO PARANOA,QUADRA 17 CONJ. C LOTE 08,12,-15.773172,-47.7808929
DF,2,1236,ESCOLA CLASSE 04 DO PARANOA,QD 14 CJ F LT 01,14,-15.773077,-47.776929
DF,2,1252,CAIC SANTA PAULINA,QUADRA 05 AREA ESPECIAL 01,8,-15.7781646,-47.7842277
DF,2,1317,ESCOLA CLASSE ALTO INTERLAGOS,"CHÁCARA INTERLAGOS, N 10A, ALTIPLANO LESTE",3,-15.826611,-47.7439474
DF,2,1333,CENTRO DE ENSINO MÉDIO 01 DO PARANOA,QUADRA 4 CONJ. A LOTE 05 - PARANOA,13,-15.7824766,-47.77972926
DF,2,1341,CENTRO DE ENSINO FUNDAMENTAL 02 DO PARANOA,QUADRA 04 CONJ. A LOTE 05,11,-15.78279799,-47.77897658
DF,2,1350,CENTRO EDUCACIONAL DARCY RIBEIRO,QUADRA 31 CJ. F  AREA ESPECIAL,13,-15.7625092,-47.7831292
DF,2,1368,ESCOLA CLASSE 05 DO PARANOA,QUADRA 24 CJ. I AREA ESPECIAL,10,-15.7667377,-47.7771713
DF,2,1430,CENTRO DE ENSINO FUNDAMENTAL 01 DO PARANOA,QUADRA 03 AREA ESPECIAL 06,12,-15.7791214,-47.7833669
DF,2,1449,CENTRO DE ENSINO FUNDAMENTAL 01 DO VARJAO,"QD. 07, CJ. D, LT. 02, ÁREA ESPECIAL, VARJÃO",11,-15.7089987,-47.878189
DF,2,1457,CENTRO DE ENSINO FUNDAMENTAL 03 DO PARANOÁ,QUADRA 26 CONJ G ÁREA ESPECIAL,17,-15.7650179,-47.7793309
DF,2,1465,CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE,SHIN QI 04/06 AE LAGO NORTE,16,-15.7334732,-47.8729548
DF,2,1473,ESCOLA CLASSE GRANJA DO TORTO,AE S/N GRANJA DO TORTO,6,-15.7052464,-47.9118782
DF,2,1481,COLEGIO COC LAGO NORTE,SHIN QL 9/11- AE S/N  LOTE B,19,-15.7461065,-47.841181
DF,2,1490,COLEGIO INDI BIBIA,SHIN QI 3 CONJUNTO D A.E,11,-15.7296387,-47.8626899
DF,2,1511,CENTRO EDUCACIONAL DO LAGO NORTE,SHIN CA 02 LOTE 24 LAGO NORTE,12,-15.7182288,-47.8795755
DF,2,1520,GINASIO DO CLUBE DO CONGRESSO - SEDE CAMPESTRE - LAGO NORTE,SHIN QL 16 S/N,4,-15.7706219,-47.8328868
DF,2,1538,COLÉGIO DO SOL,CA 06 LOTE A,16,-15.7146792,-47.8816472
DF,2,1546,ESCOLA CLASSE CORA CORALINA,"COND. ENTRELAGOS, ROD. DF 250, KM 02",7,-15.7290477,-47.7498921
DF,2,1554,CENTRO DE ENSINO FUNDAMENTAL ABC,QUADRA 27 CONJUNTO A LOTES 06/07,5,-15.7661804,-47.7804049
DF,2,1562,CENTRO SOCIAL JOÃO PAULO II,QUADRA 03 ÁREA ESPECIAL LOTE 01,7,-15.7806653,-47.7839003
DF,2,1589,COLÉGIO GONÇALVES DIAS,QUADRA 23 CONJUNTO I LOTES 04/06,5,-15.7674419,-47.7806602
DF,2,1597,ESCOLA CLASSE 01 DO ITAPOÃ,DEL LAGO QUADRA 61 CONJUNTO E ÁREA ESPECIAL,14,-15.7451486,-47.7697126
DF,2,1600,ESCOLA CLASSE 02 DO ITAPOÃ,DEL LAGO QD. 378 CONJ. L ÁREA ESPECIAL,14,-15.7394781,-47.7633099
DF,2,1619,CENTRO DE ENSINO FUNDAMENTAL DRA. ZILDA ARNS,"QUADRA 378, CONJUNTO N, ÁREA ESPECIAL, NÚMERO 2",18,-15.7391941,-47.7623306
DF,2,1627,ESCOLA CLASSE SOBRADINHO DOS MELOS,DF 250 - VIA LAGO NORTE - KM 07 - NR,2,-15.7970072,-47.6939568
DF,2,1635,ESCOLA CLASSE OLHOS D'ÁGUA,"BR-020, CH OLHOS DAGUA 22, TAQUARI",2,-15.6932967,-47.8641668
DF,2,1643,ESCOLA CLASSE ASPALHA,"SMLN - TRECHO 04, CONJUNTO 01, CH 160",2,-15.7325081,-47.8337997
DF,2,1678,ESCOLA CLASSE 06 DO PARANOA,"QUADRA 33, ÁREA ESPECIAL, MÓDULO G",8,-15.7577761,-47.7837416
DF,3,1333,CENTRO DE ENSINO MÉDIO 05,QNJ 56 AREA ESPECIAL N. 16,20,-15.8145584,-48.0877832
DF,3,1341,CENTRO DE ENSINO ESPECIAL N 01,QNJ 20 AE 12,17,-15.8164626,-48.0853715
DF,3,1350,ESCOLA CLASSE N 29,QNJ 18 AREA ESPECIAL N 10,8,-15.814946,-48.0859836
DF,3,1376,CENTRO EDUCACIONAL N 6,QNL 1 AREA ESPECIAL N.1,20,-15.8311317,-48.0787005
DF,3,1384,CENTRO DE ENSINO FUNDAMENTAL 04,EQNL 05/07 AREA ESPECIAL,14,-15.8227813,-48.0831074
DF,3,1392,CENTRO DE ENSINO FUNDAMENTAL 19,EQNL 10/12 AREA ESPECIAL 01,14,-15.82037,-48.0794516
DF,3,1406,ESCOLA CLASSE N 41,EQNL 13/15 AREA ESPECIAL 01,17,-15.8245162,-48.0873316
DF,3,1414,ESCOLA CLASSE N 46,EQNL 21/23 AREA ESPECIAL 01,11,-15.8141975,-48.0907957
DF,3,1422,CENTRO DE ENSINO FUNDAMENTAL 16,QNL 22  AE 24,10,-15.8249482,-48.0906849
DF,3,1430,ESCOLA CLASSE 55,QNL 28 AREA ESPECIAL 27,10,-15.8157286,-48.0937578
DF,3,1449,ESCOLA CLASSE N 42,EQNM 34/36 AREA ESPECIAL 01,17,-15.8079669,-48.0954452
DF,3,1457,CENTRO EDUCACIONAL N 07,EQNM 36/38 AREA ESPECIAL,15,-15.8046791,-48.1000035
DF,3,1465,CENTRO DE ENSINO FUNDAMENTAL 17,EQNM 38/40 LOTE A,13,-15.7966801,-48.1026438
DF,3,1473,ESCOLA CLASSE N 45,EQNM 40/42  AREA ESPECIAL S/N,16,-15.7947531,-48.1075559
DF,3,1520,ESCOLA CLASSE N 53,QNL 16  VIA 02 LOTE 1,9,-15.8312978,-48.0884265
DF,3,1570,ESCOLA CLASSE N 50,EQNL 02/04 AREA ESPECIAL,11,-15.8315467,-48.0752507
DF,3,1635,CENTRO DE EDUCAÇÃO INFANTIL 05,EQNJ 23/25 AREA ESPECIAL,5,-15.8153,-48.0816882
DF,3,1643,CENTRO DE EDUCAÇÃO INFANTIL 03,QNM 36 CONJUNTO B-2 LOTE 60 - VILA MUTIRAO,8,-15.8069295,-48.0979217
DF,3,1651,ESCOLA CLASSE N 52,QNM 38 AREA ESPECIAL,4,-15.8014399,-48.1021915
DF,3,1660,CENTRO DE EDUCAÇÃO INFANTIL 06,EQNL 17/19 AREA ESPECIAL,7,-15.8194516,-48.0890817
DF,4,1139,ESCOLA CLASSE 116 DE SANTA MARIA,CL 116 LOTE 1-M,15,-16.00268729,-47.99396988
DF,4,1147,ESCOLA CLASSE 203,Q.203 AREA ESPECIAL,18,-16.03753245,-48.03325645
DF,4,1163,CENTRO DE ENSINO MEDIO 417 DE SANTA MARIA,QR 417 LOTE A,16,-16.01165459,-47.99051528
DF,4,1180,CENTRO DE ENSINO FUNDAMENTAL 308 DE SANTA MARIA,CL 308 LOTE 1-B,19,-16.02729471,-48.02282156
DF,4,1252,ESCOLA CLASSE 206 DE SANTA MARIA,CL 206 LOTE 1-C,17,-16.02612427,-48.03003017
DF,4,1457,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT,AVENIDA S/N - RESIDENCIAL SANTOS DUMONT- SANTA MARIA,18,-15.9936293,-47.99753957
DF,4,1490,CENTRO DE ENSINO FUNDAMENTAL 201 DE SANTA MARIA,CL 201 LOTE 1 A,13,-16.04440976,-48.03324312
DF,4,1503,CENTRO DE ENSINO MEDIO 404 DE SANTA MARIA,CL 404 LOTE A,15,-16.03400879,-48.02656719
DF,4,1511,CENTRO DE ENSINO FUNDAMENTAL 213 DE SANTA MARIA,CL 213 LOTE 01 - G,15,-16.00855835,-48.00315695
DF,4,1520,ESCOLA CLASSE 218 DE SANTA MARIA,CL 218 LOTE 01 F,14,-16.00710564,-47.98725371
DF,4,1554,CENTRO DE ENSINO FUNDAMENTAL 209 DE SANTA MARIA,CL 209 LOTE 1-A,12,-16.02203939,-48.02406971
DF,4,1562,CENTRO DE ENSINO FUNDAMENTAL 316 DE SANTA MARIA,CL 316 LOTE 1-A,17,-16.0110816,-47.99477194
DF,4,1570,ESCOLA CLASSE  215 DE SANTA MARIA,CL 215 LOTE A,12,-16.00666957,-47.99946698
DF,4,1589,CENTRO DE ENSINO FUNDAMENTAL 103 DE SANTA MARIA,CL 103 LOTE 1-B,10,-16.03734944,-48.0371138
DF,4,1597,CENTRO DE ENSINO GESNER TEIXEIRA,RUA DAS ADALIAS LOTES 2/6 - DVO - CIDADE NOVA,6,-16.04871827,-48.04740728
DF,4,1619,CENTRO DE ENSINO FUNDAMENTAL 418 DE SANTA MARIA,E/Q 417/418 - 517/518 - LOTE 01,15,-16.01399527,-47.98605669
DF,4,1627,CENTRO DE ENSINO FUNDAMENTAL 403 DE SANTA MARIA,CL 403 - LOTE 1-A,15,-16.03774896,-48.02644322
DF,4,1635,ESCOLA CLASSE 100 DE SANTA MARIA,QR 100 - CONJUNTO T - AREA ESPECIAL 01,12,-16.04264542,-48.03876445
